@relation Book_Dataset-weka.filters.unsupervised.instance.Resample-S1-Z100.0

@attribute Book_ID {B2000,B2001,B2002,B2003,B2004,B2005,B2006,B2007,B2008,B2009,B2010,B2011,B2012,B2013,B2014,B2015,B2016,B2017,B2018,B2019,B2020,B2021,B2022,B2023,B2024,B2025,B2026,B2027,B2028,B2029,B2030,B2031,B2032,B2033,B2034,B2035,B2036,B2037,B2038,B2039,B2040,B2041,B2042,B2043,B2044,B2045,B2046,B2047,B2048,B2049,B2050,B2051,B2052,B2053,B2054,B2055,B2056,B2057,B2058,B2059,B2060,B2061,B2062,B2063,B2064,B2065,B2066,B2067,B2068,B2069,B2070,B2071,B2072,B2073,B2074,B2075,B2076,B2077,B2078,B2079,B2080,B2081,B2082,B2083,B2084,B2085,B2086,B2087,B2088,B2089,B2090,B2091,B2092,B2093,B2094,B2095,B2096,B2097,B2098,B2099,B2100,B2101,B2102,B2103,B2104,B2105,B2106,B2107,B2108,B2109,B2110,B2111,B2112,B2113,B2114,B2115,B2116,B2117,B2118,B2119,B2120,B2121,B2122,B2123,B2124,B2125,B2126,B2127,B2128,B2129,B2130,B2131,B2132,B2133,B2134,B2135,B2136,B2137,B2138,B2139,B2140,B2141,B2142,B2143,B2144,B2145,B2146,B2147,B2148,B2149,B2150,B2151,B2152,B2153,B2154,B2155,B2156,B2157,B2158,B2159}
@attribute Book_Title {Book_0,Book_1,Book_2,Book_3,Book_4,Book_5,Book_6,Book_7,Book_8,Book_9,Book_10,Book_11,Book_12,Book_13,Book_14,Book_15,Book_16,Book_17,Book_18,Book_19,Book_20,Book_21,Book_22,Book_23,Book_24,Book_25,Book_26,Book_27,Book_28,Book_29,Book_30,Book_31,Book_32,Book_33,Book_34,Book_35,Book_36,Book_37,Book_38,Book_39,Book_40,Book_41,Book_42,Book_43,Book_44,Book_45,Book_46,Book_47,Book_48,Book_49,Book_50,Book_51,Book_52,Book_53,Book_54,Book_55,Book_56,Book_57,Book_58,Book_59,Book_60,Book_61,Book_62,Book_63,Book_64,Book_65,Book_66,Book_67,Book_68,Book_69,Book_70,Book_71,Book_72,Book_73,Book_74,Book_75,Book_76,Book_77,Book_78,Book_79,Book_80,Book_81,Book_82,Book_83,Book_84,Book_85,Book_86,Book_87,Book_88,Book_89,Book_90,Book_91,Book_92,Book_93,Book_94,Book_95,Book_96,Book_97,Book_98,Book_99,Book_100,Book_101,Book_102,Book_103,Book_104,Book_105,Book_106,Book_107,Book_108,Book_109,Book_110,Book_111,Book_112,Book_113,Book_114,Book_115,Book_116,Book_117,Book_118,Book_119,Book_120,Book_121,Book_122,Book_123,Book_124,Book_125,Book_126,Book_127,Book_128,Book_129,Book_130,Book_131,Book_132,Book_133,Book_134,Book_135,Book_136,Book_137,Book_138,Book_139,Book_140,Book_141,Book_142,Book_143,Book_144,Book_145,Book_146,Book_147,Book_148,Book_149,Book_150,Book_151,Book_152,Book_153,Book_154,Book_155,Book_156,Book_157,Book_158,Book_159}
@attribute Author_Name {Author_0,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16,Author_17,Author_18,Author_19,Author_20,Author_21,Author_22,Author_23,Author_24,Author_25,Author_26,Author_27,Author_28,Author_29,Author_30,Author_31,Author_32,Author_33,Author_34,Author_35,Author_36,Author_37,Author_38,Author_39,Author_40,Author_41,Author_42,Author_43,Author_44,Author_45,Author_46,Author_47,Author_48,Author_49,Author_50,Author_51,Author_52,Author_53,Author_54,Author_55,Author_56,Author_57,Author_58,Author_59,Author_60,Author_61,Author_62,Author_63,Author_64,Author_65,Author_66,Author_67,Author_68,Author_69,Author_70,Author_71,Author_72,Author_73,Author_74,Author_75,Author_76,Author_77,Author_78,Author_79,Author_80,Author_81,Author_82,Author_83,Author_84,Author_85,Author_86,Author_87,Author_88,Author_89,Author_90,Author_91,Author_92,Author_93,Author_94,Author_95,Author_96,Author_97,Author_98,Author_99,Author_100,Author_101,Author_102,Author_103,Author_104,Author_105,Author_106,Author_107,Author_108,Author_109,Author_110,Author_111,Author_112,Author_113,Author_114,Author_115,Author_116,Author_117,Author_118,Author_119,Author_120,Author_121,Author_122,Author_123,Author_124,Author_125,Author_126,Author_127,Author_128,Author_129,Author_130,Author_131,Author_132,Author_133,Author_134,Author_135,Author_136,Author_137,Author_138,Author_139,Author_140,Author_141,Author_142,Author_143,Author_144,Author_145,Author_146,Author_147,Author_148,Author_149,Author_150,Author_151,Author_152,Author_153,Author_154,Author_155,Author_156,Author_157,Author_158,Author_159}
@attribute Publisher {Pearson,Elsevier,Springer,Oxford,'McGraw Hill'}
@attribute Book_Category {Math,Mechanical,Science,Electronics,Civil,Programming}
@attribute ISBN_Number numeric
@attribute Book_Edition numeric
@attribute Language {Telugu,English,Hindi}
@attribute Book_Price numeric
@attribute Book_Rack_No numeric
@attribute Book_Availability {No,Yes}
@attribute Book_Condition {Damaged,Average,Good}
@attribute Damage_Report {Minor,None,Major}
@attribute Publication_Year numeric
@attribute Pages numeric
@attribute Binding_Type {Paperback,Hardcover}
@attribute Edition_Type {Second,Revised,First}
@attribute Print_Type {Color,Black&White}
@attribute Genre {Textbook,Reference,Guide}
@attribute Country_of_Publication {USA,India,UK}

@data
B2057,Book_57,Author_57,'McGraw Hill',Mechanical,9705838512,2,Hindi,341.36,44,Yes,Average,Minor,2018,495,Paperback,Revised,Black&White,Textbook,USA
B2086,Book_86,Author_86,Elsevier,Science,2432244638,1,Telugu,561.73,24,Yes,Good,Major,2021,797,Hardcover,First,Black&White,Guide,USA
B2017,Book_17,Author_17,Pearson,Science,5893993062,1,Telugu,470.45,3,Yes,Average,None,2022,512,Paperback,Second,Color,Reference,India
B2025,Book_25,Author_25,Pearson,Civil,9695455182,3,Telugu,277.63,8,No,Damaged,None,2019,413,Hardcover,Second,Color,Textbook,UK
B2090,Book_90,Author_90,'McGraw Hill',Math,3405630947,1,English,883.77,42,Yes,Damaged,Minor,2023,713,Hardcover,First,Black&White,Guide,USA
B2049,Book_49,Author_49,'McGraw Hill',Civil,4245623414,5,Hindi,550.64,40,No,Average,Major,2020,510,Hardcover,First,Black&White,Reference,India
B2128,Book_128,Author_128,Springer,Civil,9089114712,2,Telugu,624.47,23,No,Good,Major,2021,712,Hardcover,Second,Black&White,Guide,UK
B2083,Book_83,Author_83,'McGraw Hill',Science,2712482556,5,Telugu,422.87,46,Yes,Damaged,Major,2020,106,Hardcover,First,Color,Textbook,India
B2010,Book_10,Author_10,Springer,Programming,7841745657,5,Hindi,332.34,36,No,Average,Minor,2021,767,Paperback,Revised,Color,Reference,USA
B2156,Book_156,Author_156,Pearson,Science,1688685850,2,Telugu,539.91,14,Yes,Average,None,2019,232,Paperback,First,Black&White,Guide,UK
B2036,Book_36,Author_36,Elsevier,Electronics,8475532324,1,Hindi,200.11,11,Yes,Average,Major,2018,143,Hardcover,Revised,Black&White,Textbook,USA
B2056,Book_56,Author_56,Pearson,Math,3421855792,2,Telugu,985.86,32,Yes,Damaged,Major,2021,700,Paperback,Second,Color,Guide,India
B2021,Book_21,Author_21,Pearson,Science,9538108318,1,Telugu,890.68,28,No,Damaged,Minor,2018,749,Hardcover,Revised,Color,Guide,USA
B2099,Book_99,Author_99,Elsevier,Math,9263001342,4,English,896.08,6,Yes,Good,Major,2020,296,Hardcover,Revised,Black&White,Guide,UK
B2154,Book_154,Author_154,Springer,Civil,3250707755,3,Hindi,478.7,27,No,Damaged,Major,2020,765,Hardcover,Second,Color,Reference,India
B2139,Book_139,Author_139,'McGraw Hill',Civil,7593006741,2,Hindi,206.84,44,Yes,Damaged,Minor,2021,149,Paperback,First,Black&White,Reference,USA
B2048,Book_48,Author_48,'McGraw Hill',Programming,8614295240,2,Telugu,366.33,26,Yes,Good,Minor,2022,558,Hardcover,Second,Color,Reference,UK
B2031,Book_31,Author_31,Elsevier,Electronics,6328994672,1,Hindi,703.41,30,Yes,Good,Major,2021,656,Paperback,Revised,Color,Reference,UK
B2150,Book_150,Author_150,Oxford,Math,7869384197,4,Hindi,965.29,6,No,Average,Major,2018,584,Paperback,First,Black&White,Reference,India
B2025,Book_25,Author_25,Pearson,Civil,9695455182,3,Telugu,277.63,8,No,Damaged,None,2019,413,Hardcover,Second,Color,Textbook,UK
B2095,Book_95,Author_95,Elsevier,Mechanical,9974991511,2,English,533.26,12,No,Damaged,Major,2022,226,Paperback,Second,Black&White,Guide,USA
B2096,Book_96,Author_96,Oxford,Programming,4145799403,4,Hindi,711.39,12,Yes,Average,Major,2022,776,Paperback,Second,Color,Guide,USA
B2064,Book_64,Author_64,'McGraw Hill',Math,9692510363,5,English,468.01,26,No,Average,Minor,2024,760,Paperback,Second,Color,Textbook,India
B2051,Book_51,Author_51,Pearson,Electronics,3804009032,3,Hindi,672.18,49,Yes,Average,None,2020,235,Paperback,Second,Black&White,Reference,UK
B2096,Book_96,Author_96,Oxford,Programming,4145799403,4,Hindi,711.39,12,Yes,Average,Major,2022,776,Paperback,Second,Color,Guide,USA
B2076,Book_76,Author_76,Pearson,Civil,6196262457,5,English,791.97,49,Yes,Good,None,2023,212,Hardcover,Second,Black&White,Guide,USA
B2008,Book_8,Author_8,Oxford,Electronics,2395357410,5,Telugu,374.96,11,No,Good,Major,2020,431,Paperback,First,Black&White,Reference,UK
B2028,Book_28,Author_28,Elsevier,Science,6121663120,4,Hindi,760.31,14,No,Good,Major,2019,450,Paperback,First,Color,Guide,India
B2151,Book_151,Author_151,Elsevier,Civil,4748273846,4,Telugu,249.4,40,Yes,Damaged,Major,2018,149,Paperback,Revised,Color,Textbook,USA
B2002,Book_2,Author_2,Springer,Science,3543654857,4,English,781.43,15,No,Average,None,2023,790,Hardcover,Revised,Black&White,Textbook,India
B2103,Book_103,Author_103,Pearson,Science,3795169605,4,Telugu,495.33,7,Yes,Good,Minor,2019,506,Paperback,Second,Black&White,Textbook,India
B2030,Book_30,Author_30,'McGraw Hill',Mechanical,8625651834,4,Hindi,343.35,3,No,Good,Minor,2022,124,Hardcover,Revised,Color,Reference,UK
B2119,Book_119,Author_119,Springer,Electronics,9422086097,5,English,240.36,32,No,Good,Major,2020,361,Paperback,Second,Color,Guide,USA
B2055,Book_55,Author_55,'McGraw Hill',Civil,8029783138,4,Telugu,752.71,9,Yes,Damaged,None,2019,241,Hardcover,Revised,Color,Guide,India
B2052,Book_52,Author_52,Springer,Math,3970213533,2,Hindi,564.87,42,Yes,Average,Major,2020,127,Hardcover,Revised,Color,Textbook,UK
B2023,Book_23,Author_23,Oxford,Electronics,6995891173,2,English,877.98,36,Yes,Good,Major,2023,373,Hardcover,Revised,Color,Textbook,USA
B2074,Book_74,Author_74,Elsevier,Civil,1111926410,5,Hindi,296.54,46,No,Damaged,None,2024,308,Paperback,Second,Black&White,Textbook,UK
B2002,Book_2,Author_2,Springer,Science,3543654857,4,English,781.43,15,No,Average,None,2023,790,Hardcover,Revised,Black&White,Textbook,India
B2063,Book_63,Author_63,Pearson,Math,4582096924,3,Hindi,460.06,39,Yes,Good,None,2023,418,Paperback,Revised,Black&White,Textbook,India
B2017,Book_17,Author_17,Pearson,Science,5893993062,1,Telugu,470.45,3,Yes,Average,None,2022,512,Paperback,Second,Color,Reference,India
B2061,Book_61,Author_61,Elsevier,Math,7614460540,4,Hindi,227.62,17,No,Damaged,None,2023,593,Paperback,First,Black&White,Guide,UK
B2115,Book_115,Author_115,Elsevier,Science,4180288939,1,Telugu,542.02,24,Yes,Damaged,Major,2020,126,Paperback,First,Black&White,Guide,USA
B2077,Book_77,Author_77,Springer,Civil,1579684432,1,Telugu,258.08,21,No,Average,Major,2021,529,Paperback,Second,Color,Textbook,India
B2144,Book_144,Author_144,Elsevier,Electronics,7204753140,2,Hindi,414.09,44,No,Average,Major,2018,668,Paperback,Second,Black&White,Textbook,India
B2107,Book_107,Author_107,Springer,Math,2009527625,5,Hindi,541.16,32,No,Average,Major,2021,401,Paperback,Second,Color,Guide,USA
B2157,Book_157,Author_157,Elsevier,Electronics,3871083623,3,Telugu,217.18,26,Yes,Average,Major,2019,568,Hardcover,Revised,Black&White,Guide,UK
